Area (sq km),4.1
Number of species,-1
Number of species - spatially valid only,-1
Occurrences,0
Occurrences - spatially valid only,0
Expert distributions,0
Checklist areas,0
Checklist species,0
Journalmap documents,0
Gazetteer points,0
Points of interest,0
Invasive Species,37
Threatened Species,0
Scottish Rural Development Programme,35
Scottish Biodiversity List,0
RSPB Priority Species,11
"Convention on Migratory Species, African-Eurasian Waterbirds Agreement - Annex II",0
Birds Directive - Annex 1,0
Habitats Directive Annex 2 - Non-priority species,0
Habitats Directive Annex 2 - Priority species,0
OSPAR,0
A review of the scarce and threatened stoneflies (Plecoptera) of Great Britain,0
A review of the scarce and threatened beetles of Great Britain - The leaf beetles and their allies,35
A review of the Orthoptera (grasshoppers and crickets) and allied species of Great Britain,0
A review of the Non-Marine Mollusca of Great Britain,0
"A review of the millipedes (Diplopoda), centipedes (Chilopoda) and woodlice (Isopoda) of Great Britain",0
A review of the Hemiptera of Great Britain -The Aquatic and Semi-aquatic Bugs,0
A review of the beetles of Great Britain- The Soldier Beetles and their allies,0
A review of the beetles of Great Britain- The Darkling Beetles and their allies,23
 Protection of Badgers Act (1992),0
Nationally Notable,1
Nationally Notable A,0
Nationally Notable B,31
Biodiversity Action Plan UK list of priority species,30
Birds of Conservation Concern 5 (December 2021) - Amber,42
Biodiversity Lists - England - NERC S.41,31
Biodiversity Lists - Wales NERC S.42,32
Birds of Conservation Concern 5 (December 2021) - Red,6
Red list Waiting List,1
Nationally Scarce. Includes Red Listed taxa,6
Nationally Rare. Includes Red Listed taxa,0
Nationally Scarce Marine Species,0
Nationally rare marine species,0
Invasive species of special concern,0
Isle of Man Wildlife Act 1990 Schedule 5 species,0
Isle of Man Wildlife Act 1990 Schedule 7 species,12
Isle of Man Wildlife Act 1990 Schedule 1,6
Isle of Man Wildlife Act 1990 Schedule 6,1
Isle of Man Wildlife Act Schedule 8,0
Wildlife and Countryside Act 1981 - Schedule 9 (GB),0
Northern Ireland Priority Species,41
The Wildlife (Northern Ireland) Order 1985 – Schedule 9,3
Breeding Bird Post 2001 Conservation Status - Critically Endangered,1
Breeding Bird Post 2001 Conservation Status - Critically Endangered (possibly extinct),0
Breeding Bird Post 2001 Conservation Status - Data Deficient,0
Breeding Bird Post 2001 Conservation Status - Endangered,6
Breeding Bird Post 2001 Conservation Status - Extinct,0
Breeding Bird Post 2001 Conservation Status - Least Concern,64
Breeding Bird Post 2001 Conservation Status - Near Threatened,0
Breeding Bird Post 2001 Conservation Status - Regionally Extinct,0
Breeding Bird Post 2001 Conservation Status - Vulnerable,11
Non-Breeding Bird Post 2001 Conservation Status - Critically Endangered,0
Non -Breeding Bird Post 2001 Conservation Status - Data Deficient,0
Non-Breeding Bird Post 2001 Conservation Status - Endangered,4
Non-Breeding Bird Post 2001 Conservation Status - Least Concern,14
Non-Breeding Bird Post 2001 Conservation Status - Near Threatened,2
Non-Breeding Bird Post 2001 Conservation Status - Vulnerable,6
species_list_uid:dr2170,0
"Bern Convention - Appendix 1, Appendix 2 and Appendix 3 combined",62
"Birds Directive Annex 1, Annex 2.1 and Annex 2.2 - combined",35
Wildlife and Countryside Act 1981 (Schedule 5) England and Wales,4
Convention on Migratory Species - Appendix 1 and Appendix 2 Bonn Convention,27
"EC CITES - Annexes A, B, C and D combined",12
Birds of Conservation Concern (December 2015) Amber/Red,0
Habitats Directive - Annex 4 and Annex 5 combined,7
"The Conservation (Nature Habitats, etc.) Regulations (Northern Ireland) 1995, amended 2004 - Schedule 2, Schedule 3 and Schedule 4 combined",6
"The Conservation of Habitats and Species Regulations 2010 - Schedule 2, Schedule 4 and Schedule 5, combined",7
The Wildlife (Northern Ireland) Order 1985 - Schedule 1 part I and Schedule 1 part II,16
"Wildlife (Northern Ireland) Order (1985) - Schedule 8, part I and part II",3
Wildlife (Northern Ireland) Order (1985) - Schedule 5,3
"Wildlife and Countryside Act 1981 - Schedule 1, Part I and Part II combined",2
Wildlife and Countryside Act 1981 - Schedule 8,1
Convention on Migratory Species - EUROBATS Annex 1,0
Convention on Migratory Species - ASCOBANS,0
Red List GB post 2001 -  Vulnerable - based on IUCN guidelines,2
Red List GB post 2001 - Critically Endangered  - based on IUCN guidelines,0
Red List GB post 2001 - Critically Endangered (Possibly Extinct)  based on IUCN guidelines,0
Red List GB post 2001 - Data Deficient - based on IUCN guidelines,3
Red List GB post 2001 - Endangered - based on IUCN guidelines,5
Red List GB post 2001 - Extinct - based on IUCN guidelines,0
Red List GB post 2001 - Extinct in the Wild - based on IUCN guidelines,0
Red List GB post 2001 - Least Concern - based on IUCN guidelines,3
Red List GB post 2001 - Near Threatened - based on IUCN guidelines,4
Red List GB post 2001 - Not Evaluated - based on IUCN guidelines,3
Red List GB Post 2001 - Red list conservation status of GB species EXCLUDING BIRDS - based on IUCN guidelines,458
Red List GB post 2001 - Regionally Extinct - based on IUCN guidelines,0
Algae,0
Amphibians,1
Angiosperms,0
Animals,346
Arthropods,183
Bacteria,0
Birds,108
Bryophytes,3
Chromista,0
Crustaceans,6
Dicots,6
FernsAndAllies,24
Fish,0
Fungi,68
Gymnosperms,0
Insects,173
Mammals,18
Molluscs,8
Monocots,0
Plants,357
Protozoa,0
Reptiles,2
